                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1524,                 3.5109,                 2.3659,                0.00333,                      1,                  0.995,                0.64652,                 1.1868,                 3.4108,                 1.5112,                0.00018,                0.00018,                0.00018
                      2,                 1.2943,                  1.734,                 1.3256,                0.00333,                      1,                  0.995,                0.73682,                0.99643,                 2.8631,                 1.1388,             0.00036119,             0.00036119,             0.00036119
                      3,                 1.1346,                 1.3864,                 1.2013,                      1,                0.73398,                  0.995,                0.74046,                 0.9997,                 2.7275,                 1.1593,             0.00052258,             0.00052258,             0.00052258
                      4,                 1.2222,                 1.3667,                 1.2559,                0.99779,                      1,                  0.995,                0.68908,                 1.0813,                 2.5722,                 1.2123,             0.00066417,             0.00066417,             0.00066417
                      5,                 1.1951,                 1.2089,                 1.2056,                0.99004,                      1,                  0.995,                0.71493,                 1.0287,                 2.0138,                 1.1344,             0.00078596,             0.00078596,             0.00078596
                      6,                 1.0856,                 1.1855,                  1.144,                      1,                0.99918,                  0.995,                0.71363,                  1.044,                 2.1158,                 1.1736,             0.00088795,             0.00088795,             0.00088795
                      7,                 1.0737,                 1.1119,                 1.1419,                0.87454,                      1,                  0.975,                0.71503,                0.97624,                 1.7989,                  1.128,             0.00097014,             0.00097014,             0.00097014
                      8,                 1.0429,                 1.0438,                 1.1288,                0.98162,                      1,                  0.995,                0.68215,                 1.0935,                 1.6768,                 1.4226,              0.0010325,              0.0010325,              0.0010325
                      9,                 1.1258,                 1.0284,                 1.1586,                0.98865,                      1,                  0.995,                  0.688,                 1.1517,                 1.5301,                 1.3593,              0.0010751,              0.0010751,              0.0010751
                     10,                 1.0242,                 1.0159,                 1.1521,                0.99362,                      1,                  0.995,                0.72211,                0.94535,                 1.1681,                 1.1737,              0.0010979,              0.0010979,              0.0010979
                     11,                0.90832,                 1.0637,                 1.1399,                0.99497,                      1,                  0.995,                0.72359,                 1.0459,                  1.295,                 1.2335,                0.00101,                0.00101,                0.00101
                     12,                0.84941,                 1.0816,                 1.1143,                0.99416,                      1,                  0.995,                0.74088,                0.91227,                 1.1179,                 1.0975,                0.00101,                0.00101,                0.00101
                     13,                0.81627,                0.92347,                 1.0752,                0.99338,                      1,                  0.995,                0.78572,                0.80848,                 1.0639,                 1.0408,               0.000911,               0.000911,               0.000911
                     14,                 0.8375,                0.87207,                 1.0728,                0.99403,                      1,                  0.995,                0.76607,                0.91001,                0.93145,                  1.103,               0.000812,               0.000812,               0.000812
                     15,                0.80668,                0.89289,                 1.0376,                0.99397,                      1,                  0.995,                0.75743,                0.92202,                 1.3135,                 1.0921,               0.000713,               0.000713,               0.000713
                     16,                0.80691,                 0.8298,                 1.0483,                 0.9938,                      1,                  0.995,                0.77689,                0.86072,                 1.0216,                 1.0498,               0.000614,               0.000614,               0.000614
                     17,                0.78508,                0.78785,                  1.042,                 0.9961,                      1,                  0.995,                0.80733,                0.84093,                 0.8785,                 1.0235,               0.000515,               0.000515,               0.000515
                     18,                0.72853,                0.76179,                 1.0077,                0.99697,                      1,                  0.995,                0.78949,                0.80971,                 0.7937,                0.99107,               0.000416,               0.000416,               0.000416
                     19,                0.72444,                0.73687,                 1.0204,                0.99689,                      1,                  0.995,                0.78875,                0.77138,                0.76485,                0.97477,               0.000317,               0.000317,               0.000317
                     20,                0.67527,                0.71382,                0.99999,                0.99698,                      1,                  0.995,                0.80475,                0.74754,                0.74051,                0.97618,               0.000218,               0.000218,               0.000218
